channel,message_id,detected_class,confidence_score
CheMed123,10,,
CheMed123,11,,
CheMed123,13,hot dog,0.5039
CheMed123,14,,
CheMed123,15,,
CheMed123,17,bottle,0.526
CheMed123,18,,
CheMed123,19,person,0.9401
CheMed123,19,person,0.9277
CheMed123,2,,
CheMed123,20,person,0.9401
CheMed123,20,person,0.9277
CheMed123,21,,
CheMed123,22,,
CheMed123,23,cell phone,0.6107
CheMed123,25,cell phone,0.8613
CheMed123,25,person,0.6284
CheMed123,26,person,0.8276
CheMed123,27,,
CheMed123,29,person,0.6185
CheMed123,29,surfboard,0.5945
CheMed123,29,person,0.528
CheMed123,3,,
CheMed123,30,,
CheMed123,31,bottle,0.5125
CheMed123,32,person,0.5882
CheMed123,33,orange,0.6712
CheMed123,33,orange,0.5761
CheMed123,34,,
CheMed123,38,,
CheMed123,39,mouse,0.9114
CheMed123,39,mouse,0.9019
CheMed123,39,mouse,0.893
CheMed123,39,mouse,0.6238
CheMed123,39,mouse,0.594
CheMed123,39,mouse,0.5547
CheMed123,39,mouse,0.5261
CheMed123,4,,
CheMed123,40,person,0.7191
CheMed123,40,person,0.6744
CheMed123,40,person,0.6338
CheMed123,40,person,0.5978
CheMed123,40,person,0.5868
CheMed123,40,person,0.5126
CheMed123,41,,
CheMed123,43,person,0.8565
CheMed123,44,cell phone,0.9387
CheMed123,44,person,0.848
CheMed123,45,scissors,0.632
CheMed123,46,person,0.8272
CheMed123,48,,
CheMed123,49,kite,0.6801
CheMed123,50,,
CheMed123,52,person,0.7039
CheMed123,52,person,0.6461
CheMed123,52,horse,0.6253
CheMed123,52,person,0.5131
CheMed123,53,person,0.5738
CheMed123,55,,
CheMed123,56,person,0.833
CheMed123,57,person,0.8897
CheMed123,57,potted plant,0.872
CheMed123,57,potted plant,0.7366
CheMed123,57,potted plant,0.5937
CheMed123,58,,
CheMed123,59,,
CheMed123,60,,
CheMed123,64,person,0.6865
CheMed123,67,stop sign,0.5792
CheMed123,70,potted plant,0.9247
CheMed123,70,person,0.8443
CheMed123,71,person,0.8836
CheMed123,71,person,0.8043
CheMed123,74,,
CheMed123,75,person,0.8353
CheMed123,76,person,0.8694
CheMed123,77,bottle,0.9558
CheMed123,77,bottle,0.9073
CheMed123,77,bottle,0.8961
CheMed123,77,bottle,0.8937
CheMed123,78,person,0.7699
CheMed123,79,,
CheMed123,80,person,0.9279
CheMed123,80,bottle,0.7433
CheMed123,80,chair,0.5636
CheMed123,81,bottle,0.8818
CheMed123,81,bottle,0.8327
CheMed123,81,bottle,0.8217
CheMed123,81,bottle,0.8041
CheMed123,81,bottle,0.7617
CheMed123,82,bottle,0.8992
CheMed123,82,bottle,0.8425
CheMed123,82,bottle,0.7404
CheMed123,85,,
CheMed123,86,person,0.9013
CheMed123,87,,
CheMed123,88,,
CheMed123,9,,
CheMed123,90,,
CheMed123,91,,
CheMed123,92,,
CheMed123,93,person,0.9077
CheMed123,94,cup,0.7409
CheMed123,95,person,0.8684
CheMed123,96,,
CheMed123,97,,
lobelia4cosmetics,26575,,
lobelia4cosmetics,26576,,
lobelia4cosmetics,26577,,
lobelia4cosmetics,26578,bottle,0.677
lobelia4cosmetics,26579,,
lobelia4cosmetics,26580,,
lobelia4cosmetics,26581,,
lobelia4cosmetics,26582,bottle,0.5669
lobelia4cosmetics,26583,,
lobelia4cosmetics,26584,,
lobelia4cosmetics,26585,fork,0.8578
lobelia4cosmetics,26586,,
lobelia4cosmetics,26587,,
lobelia4cosmetics,26588,,
lobelia4cosmetics,26589,person,0.6776
lobelia4cosmetics,26590,,
lobelia4cosmetics,26591,,
lobelia4cosmetics,26592,,
lobelia4cosmetics,26593,bottle,0.5939
lobelia4cosmetics,26594,,
lobelia4cosmetics,26595,,
lobelia4cosmetics,26596,bottle,0.9058
lobelia4cosmetics,26597,person,0.8004
lobelia4cosmetics,26598,bottle,0.7407
lobelia4cosmetics,26599,bottle,0.5097
lobelia4cosmetics,26599,bottle,0.5074
lobelia4cosmetics,26600,,
lobelia4cosmetics,26601,,
lobelia4cosmetics,26602,,
lobelia4cosmetics,26603,,
lobelia4cosmetics,26604,,
lobelia4cosmetics,26605,,
lobelia4cosmetics,26606,bottle,0.6768
lobelia4cosmetics,26607,bottle,0.7881
lobelia4cosmetics,26607,bottle,0.5554
lobelia4cosmetics,26608,,
lobelia4cosmetics,26609,,
lobelia4cosmetics,26610,,
lobelia4cosmetics,26611,bottle,0.8619
lobelia4cosmetics,26612,,
lobelia4cosmetics,26613,,
lobelia4cosmetics,26614,,
lobelia4cosmetics,26615,,
lobelia4cosmetics,26616,,
lobelia4cosmetics,26617,refrigerator,0.5083
lobelia4cosmetics,26618,,
lobelia4cosmetics,26619,bottle,0.5669
lobelia4cosmetics,26620,,
lobelia4cosmetics,26621,bottle,0.5032
lobelia4cosmetics,26622,bottle,0.5096
lobelia4cosmetics,26623,bottle,0.6109
lobelia4cosmetics,26624,,
lobelia4cosmetics,26625,,
lobelia4cosmetics,26626,,
lobelia4cosmetics,26627,,
lobelia4cosmetics,26628,,
lobelia4cosmetics,26629,cup,0.7179
lobelia4cosmetics,26630,,
lobelia4cosmetics,26631,,
lobelia4cosmetics,26632,,
lobelia4cosmetics,26633,fork,0.8578
lobelia4cosmetics,26634,,
lobelia4cosmetics,26635,,
lobelia4cosmetics,26636,,
lobelia4cosmetics,26637,,
lobelia4cosmetics,26638,,
lobelia4cosmetics,26639,,
lobelia4cosmetics,26640,,
lobelia4cosmetics,26641,,
lobelia4cosmetics,26642,person,0.6776
lobelia4cosmetics,26643,,
lobelia4cosmetics,26644,bottle,0.7959
lobelia4cosmetics,26645,bottle,0.7738
lobelia4cosmetics,26646,,
lobelia4cosmetics,26647,,
lobelia4cosmetics,26648,,
lobelia4cosmetics,26649,,
lobelia4cosmetics,26650,,
lobelia4cosmetics,26651,,
lobelia4cosmetics,26652,,
lobelia4cosmetics,26653,,
lobelia4cosmetics,26654,bottle,0.5669
lobelia4cosmetics,26655,,
lobelia4cosmetics,26656,,
lobelia4cosmetics,26657,,
lobelia4cosmetics,26658,,
lobelia4cosmetics,26659,,
lobelia4cosmetics,26660,,
lobelia4cosmetics,26661,,
lobelia4cosmetics,26662,,
lobelia4cosmetics,26663,person,0.6776
lobelia4cosmetics,26664,,
lobelia4cosmetics,26665,person,0.6776
lobelia4cosmetics,26666,,
lobelia4cosmetics,26667,,
lobelia4cosmetics,26668,bottle,0.8619
lobelia4cosmetics,26669,,
lobelia4cosmetics,26670,,
lobelia4cosmetics,26671,,
lobelia4cosmetics,26672,bottle,0.5097
lobelia4cosmetics,26672,bottle,0.5074
lobelia4cosmetics,26673,,
lobelia4cosmetics,26674,,
tikvahpharma,196271,,
tikvahpharma,196286,,
tikvahpharma,196288,,
tikvahpharma,196295,,
tikvahpharma,196310,,
tikvahpharma,196311,,
tikvahpharma,196312,,
tikvahpharma,196313,laptop,0.7089
tikvahpharma,196327,,
tikvahpharma,196337,,
tikvahpharma,196338,,
tikvahpharma,196339,,
tikvahpharma,196340,laptop,0.7089
tikvahpharma,196343,,
tikvahpharma,196344,tv,0.6954
tikvahpharma,196355,,
tikvahpharma,196356,tv,0.6954
tikvahpharma,196367,,
tikvahpharma,196368,,
tikvahpharma,196369,,
tikvahpharma,196370,laptop,0.7089
tikvahpharma,196383,laptop,0.8312
tikvahpharma,196383,bottle,0.6147
tikvahpharma,196384,laptop,0.9084
